# equation of state: birch 1st order.  chisq =   0.1115D-10
# a0 =  6.6572 a.u., k0 = 1983 kbar, dk0 =  4.91 d2k0 =  0.000 emin =-1716.65746
# a0 =  3.52286 Ang, k0 = 198.3 GPa,  V0 =   295.04 (a.u.)^3,  V0 =   43.72 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# Ang             Ry           Ry            Ry        GPa           Ry
#########################################################################
  3.42000   -1716.64031   -1716.64032     0.00000      21.94    -1716.23765
  3.43000   -1716.64365   -1716.64365    -0.00000      19.36    -1716.28529
  3.44000   -1716.64659   -1716.64659    -0.00000      16.88    -1716.33134
  3.45000   -1716.64915   -1716.64915    -0.00000      14.51    -1716.37585
  3.46000   -1716.65135   -1716.65134    -0.00000      12.23    -1716.41887
  3.47000   -1716.65319   -1716.65319    -0.00000      10.06    -1716.46042
  3.48000   -1716.65468   -1716.65468    -0.00000       7.97    -1716.50056
  3.49000   -1716.65584   -1716.65585     0.00001       5.98    -1716.53932
  3.50000   -1716.65668   -1716.65669     0.00001       4.06    -1716.57673
  3.51000   -1716.65722   -1716.65722     0.00000       2.24    -1716.61286
  3.52000   -1716.65745   -1716.65745    -0.00000       0.49    -1716.64771
  3.53000   -1716.65739   -1716.65739    -0.00000      -1.19    -1716.68133
  3.54000   -1716.65705   -1716.65705    -0.00000      -2.79    -1716.71374
  3.55000   -1716.65643   -1716.65643    -0.00000      -4.31    -1716.74499
  3.56000   -1716.65556   -1716.65555    -0.00000      -5.78    -1716.77511
  3.57000   -1716.65442   -1716.65442    -0.00000      -7.17    -1716.80411
  3.58000   -1716.65304   -1716.65304     0.00000      -8.50    -1716.83205
  3.59000   -1716.65142   -1716.65142     0.00000      -9.78    -1716.85893
