# equation of state: birch 3rd order.  chisq =   0.1913D-11
# a0 = 20.5685 a.u., k0 =  697 kbar, dk0 =  4.45 d2k0 = -0.014 emin =-9924.38129
# a0 = 10.88441 Ang, k0 =  69.7 GPa,  V0 =  8701.83 (a.u.)^3,  V0 = 1289.48 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# Ang             Ry           Ry            Ry        GPa           Ry
#########################################################################
 10.76000   -9924.35607   -9924.35607    -0.00000       2.59    -9922.87337
 10.78000   -9924.36364   -9924.36364     0.00000       2.15    -9923.12854
 10.80000   -9924.36983   -9924.36983     0.00000       1.71    -9923.37877
 10.82000   -9924.37466   -9924.37466     0.00000       1.29    -9923.62411
 10.84000   -9924.37816   -9924.37816    -0.00000       0.88    -9923.86458
 10.86000   -9924.38036   -9924.38035    -0.00000       0.48    -9924.10023
 10.88000   -9924.38126   -9924.38126    -0.00000       0.08    -9924.33109
 10.90000   -9924.38091   -9924.38092     0.00000      -0.30    -9924.55719
 10.92000   -9924.37933   -9924.37933    -0.00000      -0.67    -9924.77859
 10.94000   -9924.37653   -9924.37654     0.00000      -1.03    -9924.99531
 10.96000   -9924.37255   -9924.37255     0.00000      -1.38    -9925.20740
 10.98000   -9924.36740   -9924.36740    -0.00000      -1.72    -9925.41489
 11.00000   -9924.36111   -9924.36111     0.00000      -2.06    -9925.61783
